start,end,label,description,type,shortlabel
2011-09-25,2015-05-22,University of Southampton,"Studied MEng Computer Science, graduating with First Class Honours",education,University of Southampton
2013-06-23,2013-08-29,Micro Focus Ltd.,Interned as Product Development Intern,career,Micro Focus
2014-06-23,2014-08-29,J. P. Morgan,Interned as Project Manager,career,J.P. Morgan
2015-08-15,now,FactSet Europe Ltd.,Working as Software Engineer,career,FactSet Europe Ltd.
2011-12-05,,Personal Website version 1,First version of this website,projects
2012-04-04,,Fractal Viewer,Visualisation of a Mandelbrot Set and Julia Set viewer,projects
2012-05-08,,Crossword Puzzle,Implmentation of a simple crossword puzzle with clues,projects
2013-05-10,,KNN Data Classifier,K-nearest neighbour classifer to identify different types of fish,projects
2013-04-15,,LittleNic to Java cross-compiler,Cross compiler to convert LittleNic code to correct Java code,projects
2014-01-05,,Clangers,Implmentation of a virtual world themed from the old BBC show Clangers,projects
2014-01-10,,Type Pong,Web pong game mixed with typing as a group project,projects
2013-10-01,2014-06-05,Privacy Matters,"Individual project, involving visualisation of company privacy policies",projects,Privacy Matters
2014-11-01,,Personal Website version 2, Second version of this website,projects
2015-01-07,,Agent Elman,Agent designed as group to compete with others in the TAC,projects
2014-12-09,,Idea Board,"Note taking application implementing a board abstraction, as a group project",projects
2014-10-02,2015-01-11,Mobile Intervention Authoring,"Masters year GDP, improving intervention authoring tool and creating intervention",projects,Mobile Interventions
2015-04-25,,NHS Waiting Times Applications,Application using open data to show A & E Hospitals with lowest waiting time as a group project,projects
2015-11-25,now,Personal Website version 3,Third and current version of this website,projects,PW v3